INSERT INTO `espcms_logs` VALUES('33','admin','2130706433','1370590819','日志清除','成功');
INSERT INTO `espcms_logs` VALUES('34','admin','2130706433','1370590879','分类修改','成功 typename=软件类 tid=15');
INSERT INTO `espcms_logs` VALUES('35','admin','2130706433','1370590963','分类修改','成功 typename=软件类 tid=15');
INSERT INTO `espcms_logs` VALUES('36','admin','2130706433','1370590983','分类修改','成功 typename=在线下载 tid=7');
INSERT INTO `espcms_logs` VALUES('37','admin','2130706433','1370591221','分类属性修改','成功 tid=7,15,16,0');
INSERT INTO `espcms_logs` VALUES('38','admin','2130706433','1370591232','分类属性修改','成功 tid=7,15,16,0');
INSERT INTO `espcms_logs` VALUES('39','admin','2130706433','1370592891','语言项修改','成功 title=网站名称 id=1');
INSERT INTO `espcms_logs` VALUES('40','admin','2130706433','1370592948','语言项修改','成功 title=网站简介 id=3');
INSERT INTO `espcms_logs` VALUES('41','admin','2130706433','1370593029','语言项修改','成功 title=关键字 id=2');
INSERT INTO `espcms_logs` VALUES('42','admin','2130706433','1370662186','登陆管理平台','成功 user=admin');
INSERT INTO `espcms_logs` VALUES('43','admin','2130706433','1370662205','分类修改','成功 typename=在线下载 tid=7');
INSERT INTO `espcms_logs` VALUES('44','admin','2130706433','1370662504','分类修改','成功 typename=在线下载 tid=7');
INSERT INTO `espcms_logs` VALUES('45','admin','2130706433','1370666620','登陆管理平台','成功 user=admin');
INSERT INTO `espcms_logs` VALUES('46','admin','2130706433','1370666639','分类删除','成功 tid=19');
INSERT INTO `espcms_logs` VALUES('47','admin','2130706433','1370666644','分类删除','成功 tid=18');
INSERT INTO `espcms_logs` VALUES('48','admin','2130706433','1370667011','语言项删除','成功 id=668,669,');
INSERT INTO `espcms_logs` VALUES('49','admin','2130706433','1370667050','语言项添加','成功 title=资料下载');
INSERT INTO `espcms_logs` VALUES('50','admin','2130706433','1370667126','语言项添加','成功 title=发货须知');
INSERT INTO `espcms_logs` VALUES('51','admin','2130706433','1370669155','语言修改','成功 lantitle=繁体中文版 id=7');
INSERT INTO `espcms_logs` VALUES('52','admin','2130706433','1370780011','登陆管理平台','错误 user=admin password=jiuhon');
INSERT INTO `espcms_logs` VALUES('53','admin','2130706433','1370780023','登陆管理平台','成功 user=admin');
INSERT INTO `espcms_logs` VALUES('54','admin','2130706433','1370780169','语言项添加','成功 title=登录');
INSERT INTO `espcms_logs` VALUES('55','admin','2130706433','1370780226','语言项添加','成功 title=用户注册');
INSERT INTO `espcms_logs` VALUES('56','admin','2130706433','1370780284','语言项添加','成功 title=手机版');
INSERT INTO `espcms_logs` VALUES('57','admin','2130706433','1370780439','语言项添加','成功 title=关注');
INSERT INTO `espcms_logs` VALUES('58','admin','2130706433','1370780520','语言项添加','成功 title=关注微博');
INSERT INTO `espcms_logs` VALUES('59','admin','2130706433','1371113657','登陆管理平台','成功 user=admin');
INSERT INTO `espcms_logs` VALUES('60','admin','2130706433','1371883025','登陆管理平台','成功 user=admin');
INSERT INTO `espcms_logs` VALUES('61','admin','2130706433','1372077963','登陆管理平台','成功 user=admin');
INSERT INTO `espcms_logs` VALUES('62','admin','2130706433','1372077973','登陆管理平台','错误 user=admin password=admin');
INSERT INTO `espcms_logs` VALUES('63','admin','2130706433','1372077981','登陆管理平台','成功 user=admin');
INSERT INTO `espcms_logs` VALUES('64','admin','2130706433','1372077991','登陆管理平台','错误 user=admin password=admin');
INSERT INTO `espcms_logs` VALUES('65','admin','2130706433','1372077998','登陆管理平台','错误 user=admin password=admin');
INSERT INTO `espcms_logs` VALUES('66','admin','2130706433','1372078006','登陆管理平台','成功 user=admin');
INSERT INTO `espcms_logs` VALUES('67','admin','2130706433','1372078016','登陆管理平台','成功 user=admin');
INSERT INTO `espcms_logs` VALUES('68','admin','2130706433','1372078024','登陆管理平台','错误 user=admin password=admin');
INSERT INTO `espcms_logs` VALUES('69','admin','2130706433','1372078047','登陆管理平台','成功 user=admin');
INSERT INTO `espcms_logs` VALUES('70','admin','2130706433','1372078061','登陆管理平台','错误 user=admin password=m123456');
INSERT INTO `espcms_logs` VALUES('71','admin','2130706433','1372078268','登陆管理平台','成功 user=admin');
INSERT INTO `espcms_logs` VALUES('72','admin','2130706433','1372078292','登陆管理平台','成功 user=admin');
INSERT INTO `espcms_logs` VALUES('73','admin','2130706433','1372078305','登陆管理平台','成功 user=admin');
INSERT INTO `espcms_logs` VALUES('74','admin','2130706433','1372078435','登陆管理平台','成功 user=admin');
INSERT INTO `espcms_logs` VALUES('75','admin','2130706433','1372078465','登陆管理平台','成功 user=admin');
INSERT INTO `espcms_logs` VALUES('76','admin','2130706433','1372078503','登陆管理平台','成功 user=admin');
INSERT INTO `espcms_logs` VALUES('77','admin','2130706433','1372079405','登陆管理平台','成功 user=admin');
